index,drugbank_id
1033,DB01170
1034,DB01171
1035,DB01172
1036,DB01173
1037,DB01174
1038,DB01175
1039,DB01176
1040,DB01177
1041,DB01178
1042,DB01179
1043,DB01180
1044,DB01181
1045,DB01182
1046,DB01183
1047,DB01184
1048,DB01185
1049,DB01186
1050,DB01187
1051,DB01188
1052,DB01189
1053,DB01190
1054,DB01191
1055,DB01192
1056,DB01193
1057,DB01194
1058,DB01195
1059,DB01196
1060,DB01197
1061,DB01198
1062,DB01199
1063,DB01200
1064,DB01201
1065,DB01202
1066,DB01203
1067,DB01204
1068,DB01205
1069,DB01206
1070,DB01207
1071,DB01208
1072,DB01209
1073,DB01210
1074,DB01211
1075,DB01212
1076,DB01213
1077,DB01214
1078,DB01215
1079,DB01216
1080,DB01217
1081,DB01218
1082,DB01219
1083,DB01220
1084,DB01221
1085,DB01222
1086,DB01223
1087,DB01224
1088,DB01226
1089,DB01227
1090,DB01228
1091,DB01229
1092,DB01230
1093,DB01231
1094,DB01232
1095,DB01233
1096,DB01234
1097,DB01235
1098,DB01236
1099,DB01237
1100,DB01238
1101,DB01239
1102,DB01240
1103,DB01241
1104,DB01242
1105,DB01243
1106,DB01244
1107,DB01245
1108,DB01246
1109,DB01247
1110,DB01248
1111,DB01249
1112,DB01250
1113,DB01251
1114,DB01252
1115,DB01253
1116,DB01254
1117,DB01255
1118,DB01256
1119,DB01259
1120,DB01260
1121,DB01261
1122,DB01262
1123,DB01263
1124,DB01264
1125,DB01265
1126,DB01267
1127,DB01268
1128,DB01273
1129,DB01274
1130,DB01275
1131,DB01278
1132,DB01280
1133,DB01282
1134,DB01283
1135,DB01284
1136,DB01288
1137,DB01289
1138,DB01291
1139,DB01294
1140,DB01295
1141,DB01296
1142,DB01297
1143,DB01298
1144,DB01299
1145,DB01301
1146,DB01303
1147,DB01319
1148,DB01320
1149,DB01321
1150,DB01322
1151,DB01324
1152,DB01325
1153,DB01326
1154,DB01327
1155,DB01328
1156,DB01329
1157,DB01330
1158,DB01331
1159,DB01332
1160,DB01333
1161,DB01336
1162,DB01337
1163,DB01338
1164,DB01339
1165,DB01340
1166,DB01342
1167,DB01345
1168,DB01346
1169,DB01347
1170,DB01348
1171,DB01349
1172,DB01351
1173,DB01352
1174,DB01353
1175,DB01354
1176,DB01355
1177,DB01356
1178,DB01357
1179,DB01359
1180,DB01362
1181,DB01364
1182,DB01365
1183,DB01366
1184,DB01367
1185,DB01369
1186,DB01370
1187,DB01373
1188,DB01375
1189,DB01377
1190,DB01378
1191,DB01380
1192,DB01382
1193,DB01384
1194,DB01388
1195,DB01390
1196,DB01392
1197,DB01393
1198,DB01394
1199,DB01395
1200,DB01396
1201,DB01397
1202,DB01399
1203,DB01400
1204,DB01401
1205,DB01403
1206,DB01405
1207,DB01406
1208,DB01407
1209,DB01408
1210,DB01409
1211,DB01410
1212,DB01411
1213,DB01412
1214,DB01413
1215,DB01414
1216,DB01415
1217,DB01416
1218,DB01418
1219,DB01419
1220,DB01420
1221,DB01421
1222,DB01422
1223,DB01423
1224,DB01424
1225,DB01425
1226,DB01426
1227,DB01427
1228,DB01428
1229,DB01429
1230,DB01430
1231,DB01431
1232,DB01433
1233,DB01434
1234,DB01435
1235,DB01436
1236,DB01437
1237,DB01438
1238,DB01439
1239,DB01440
1240,DB01441
1241,DB01442
1242,DB01443
1243,DB01444
1244,DB01445
1245,DB01446
1246,DB01447
1247,DB01450
1248,DB01451
1249,DB01452
1250,DB01453
1251,DB01454
1252,DB01455
1253,DB01456
1254,DB01458
1255,DB01459
1256,DB01460
1257,DB01461
1258,DB01462
1259,DB01463
1260,DB01464
1261,DB01465
1262,DB01466
1263,DB01467
1264,DB01468
1265,DB01469
1266,DB01470
1267,DB01471
1268,DB01472
1269,DB01473
1270,DB01474
1271,DB01475
1272,DB01476
1273,DB01477
1274,DB01478
1275,DB01479
1276,DB01480
1277,DB01481
1278,DB01482
1279,DB01483
1280,DB01484
1281,DB01485
1282,DB01486
1283,DB01487
1284,DB01488
1285,DB01489
1286,DB01490
1287,DB01491
1288,DB01493
1289,DB01494
1290,DB01495
1291,DB01496
1292,DB01497
1293,DB01498
1294,DB01499
1295,DB01500
1296,DB01501
1297,DB01502
1298,DB01503
1299,DB01505
1300,DB01506
1301,DB01509
1302,DB01511
1303,DB01512
1304,DB01513
1305,DB01514
1306,DB01515
1307,DB01516
1308,DB01518
1309,DB01520
1310,DB01521
1311,DB01522
1312,DB01523
1313,DB01524
1314,DB01525
1315,DB01526
1316,DB01527
1317,DB01528
1318,DB01529
1319,DB01530
1320,DB01531
1321,DB01532
1322,DB01533
1323,DB01534
1324,DB01535
1325,DB01536
1326,DB01537
1327,DB01538
1328,DB01539
1329,DB01540
1330,DB01541
1331,DB01542
1332,DB01543
1333,DB01544
1334,DB01545
1335,DB01546
1336,DB01547
1337,DB01548
1338,DB01549
1339,DB01550
1340,DB01551
1341,DB01552
1342,DB01553
1343,DB01554
1344,DB01555
1345,DB01556
1346,DB01557
1347,DB01558
1348,DB01559
1349,DB01560
1350,DB01561
1351,DB01562
1352,DB01563
1353,DB01564
1354,DB01565
1355,DB01566
1356,DB01567
1357,DB01568
1358,DB01569
1359,DB01570
1360,DB01571
1361,DB01572
1362,DB01573
1363,DB01574
1364,DB01575
1365,DB01576
1366,DB01577
1367,DB01578
1368,DB01579
1369,DB01580
1370,DB01581
1371,DB01582
1372,DB01583
1373,DB01586
1374,DB01587
1375,DB01588
1376,DB01589
1377,DB01590
1378,DB01591
1379,DB01592
1380,DB01593
1381,DB01594
1382,DB01595
1383,DB01597
1384,DB01598
1385,DB01599
1386,DB01600
1387,DB01601
1388,DB01602
1389,DB01603
1390,DB01604
1391,DB01605
1392,DB01606
1393,DB01607
1394,DB01608
1395,DB01609
1396,DB01610
1397,DB01611
1398,DB01612
1399,DB01613
1400,DB01614
1401,DB01615
1402,DB01616
1403,DB01618
1404,DB01619
1405,DB01620
1406,DB01621
1407,DB01622
1408,DB01623
1409,DB01624
1410,DB01625
1411,DB01626
1412,DB01627
1413,DB01628
1414,DB01629
1415,DB01630
1416,DB01631
1417,DB01632
1418,DB01633
1419,DB01634
1420,DB01635
1421,DB01637
1422,DB01638
1423,DB01639
1424,DB01640
1425,DB01641
1426,DB01642
1427,DB01643
1428,DB01644
1429,DB01645
1430,DB01646
1431,DB01647
1432,DB01648
1433,DB01649
1434,DB01650
1435,DB01651
1436,DB01652
1437,DB01655
1438,DB01656
1439,DB01657
1440,DB01658
1441,DB01659
1442,DB01661
1443,DB01662
1444,DB01663
1445,DB01664
1446,DB01665
1447,DB01666
1448,DB01667
1449,DB01668
1450,DB01669
1451,DB01670
1452,DB01671
1453,DB01672
1454,DB01673
1455,DB01674
1456,DB01675
1457,DB01676
1458,DB01677
1459,DB01678
1460,DB01679
1461,DB01681
1462,DB01682
1463,DB01683
1464,DB01684
1465,DB01685
1466,DB01686
1467,DB01687
1468,DB01688
1469,DB01689
1470,DB01690
1471,DB01691
